"DateTime","Temperature","Dew Point","Relative Humidity"
"2024-02-12 19:51:00",42.98,28.76,57.32
"2024-02-13 03:15:00",35.06,29.95,81.63
"2024-02-13 07:35:00",33.08,30.88,91.65
"2024-02-13 12:29:00",33.98,30.87,88.4
"2024-02-13 20:51:00",37.94,21.72,52.04
"2024-02-14 07:51:00",28.94,9.79,44.49
"2024-02-14 18:51:00",33.08,7.79,34.4
"2024-02-15 05:51:00",28.04,11.8,50.43
"2024-02-15 16:51:00",35.96,19.72,51.72
"2024-02-16 03:51:00",39.02,20.8,48.02
"2024-02-16 14:51:00",42.08,8.69,25.15
"2024-02-17 00:58:00",33.08,24.85,71.78
"2024-02-17 05:02:00",30.92,27.99,88.9
"2024-02-17 08:36:00",33.08,29.97,88.36
"2024-02-17 10:51:00",33.08,27.97,81.48
"2024-02-17 19:51:00",30.02,14.86,53.22
"2024-02-18 06:51:00",26.06,10.72,52.16
"2024-02-18 17:51:00",39.02,12.65,33.8
"2024-02-19 04:51:00",33.98,14.85,45.36
"2024-02-19 15:51:00",39.92,5.81,23.99
"2024-02-20 02:51:00",28.94,7.81,40.69
"2024-02-20 13:51:00",39.02,8.69,28.32
"2024-02-21 00:51:00",32,12.67,44.66
"2024-02-21 11:51:00",39.02,24.8,56.73
"2024-02-21 22:51:00",35.06,23.92,63.87
"2024-02-22 05:51:00",35.06,24.84,66.32
"2024-02-22 12:51:00",44.96,28.76,53.15
"2024-02-22 21:51:00",42.08,35.87,78.73
"2024-02-23 04:51:00",42.08,38.98,88.81
"2024-02-23 08:51:00",42.98,38.97,85.79
"2024-02-23 16:51:00",46.94,37.83,70.74
"2024-02-24 03:51:00",41,32.97,73.18
"2024-02-24 14:51:00",42.98,7.81,23.33
"2024-02-25 01:51:00",26.06,1.67,34.58
"2024-02-25 12:51:00",37.04,5.81,26.86
"2024-02-25 23:51:00",35.96,17.73,47.51
"2024-02-26 10:51:00",42.98,31.86,64.92
"2024-02-26 21:51:00",48.02,35.82,62.82
"2024-02-27 06:21:00",42.08,37.89,85.13
"2024-02-27 09:24:00",44.06,39.87,85.25
"2024-02-27 17:51:00",51.98,41.97,68.87
"2024-02-27 21:51:00",51.98,48.88,89.27
"2024-02-28 05:09:00",51.08,47.98,89.23
"2024-02-28 11:58:00",53.96,48.87,83.02
"2024-02-28 16:51:00",59,53.01,80.66
"2024-02-29 02:51:00",33.98,NaN,NaN
"2024-02-29 13:51:00",41,9.77,27.52
"2024-03-01 00:51:00",32,11.77,42.92
"2024-03-01 11:51:00",44.96,14.83,29.56
"2024-03-01 22:51:00",41,32.97,73.18
"2024-03-02 08:10:00",42.98,40.96,92.65
"2024-03-02 15:29:00",50,48,92.87
"2024-03-02 20:32:00",51.08,29.82,44.15
"2024-03-02 23:51:00",51.08,31.82,47.84
"2024-03-03 03:49:00",48.2,30.02,49.51
"2024-03-03 09:51:00",55.04,44.87,68.75
"2024-03-03 20:51:00",59,45.93,62.1
"2024-03-04 07:51:00",51.08,41.99,71.19
"2024-03-04 16:51:00",53.96,42.87,66.3
"2024-03-05 02:31:00",44.96,39.85,82.38
"2024-03-05 07:58:00",42.98,38.97,85.79
"2024-03-05 10:51:00",42.98,39.88,88.85
"2024-03-05 13:51:00",44.06,40.96,88.9
"2024-03-05 16:22:00",44.96,42.04,89.56
"2024-03-05 21:51:00",48.02,44.92,89.09
"2024-03-06 04:51:00",48.02,44.01,86.08
"2024-03-06 13:16:00",51.08,46.89,85.68
"2024-03-06 17:38:00",48.02,44.92,89.09
"2024-03-06 21:51:00",46.94,44.94,92.78
"2024-03-07 03:51:00",50,46.9,89.18
"2024-03-07 08:51:00",50,42.91,76.71
"2024-03-07 16:51:00",51.98,39.79,63.34
"2024-03-08 03:51:00",42.08,30.78,64.33
"2024-03-08 14:51:00",55.94,15.8,20.46
"2024-03-09 00:04:00",42.98,33.85,70.29
"2024-03-09 07:51:00",42.08,32.95,70.19
"2024-03-09 13:51:00",42.08,38.98,88.81
"2024-03-09 19:36:00",46.04,42.94,88.99
"2024-03-09 22:40:00",48.02,44.92,89.09
"2024-03-10 01:58:00",48.02,44.01,86.08
"2024-03-10 09:51:00",46.94,33.84,60.46
"2024-03-10 20:51:00",39.92,25.88,57.29
"2024-03-11 07:51:00",37.94,21.72,52.04
"2024-03-11 18:51:00",50,7.84,17.89
"2024-03-12 05:51:00",44.06,17.71,34.67
"2024-03-12 16:51:00",66.02,24.87,21.01
"2024-03-13 03:51:00",51.98,30.74,44.3
"2024-03-13 14:51:00",60.98,26.8,27.22
"2024-03-14 01:51:00",48.92,40.91,73.99
"2024-03-14 12:51:00",69.08,33.91,27.32
"2024-03-14 23:51:00",55.04,40.87,59.06
"2024-03-15 11:51:00",71.06,51.03,49.29
"2024-03-15 22:51:00",53.96,37.8,54.52
"2024-03-16 09:51:00",50,34.92,56.3
"2024-03-16 20:51:00",55.04,27.84,35.21
"2024-03-17 07:23:00",51.08,42.89,73.7
"2024-03-17 16:51:00",60.98,21.76,22.04
"2024-03-18 03:51:00",46.04,25.84,45.3
"2024-03-18 14:51:00",48.92,17.73,28.86
"2024-03-19 01:51:00",37.04,19.72,49.56
"2024-03-19 12:51:00",44.96,12.67,26.88
"2024-03-19 23:51:00",39.92,28.8,64.52
"2024-03-20 10:51:00",48.02,23.85,38.71
"2024-03-20 19:51:00",41,25.88,54.94
"2024-03-21 06:51:00",30.02,8.71,40.55
"2024-03-21 17:51:00",41,5.81,23.01
"2024-03-22 04:51:00",28.94,8.71,42.38
"2024-03-22 15:51:00",39.92,12.65,32.63
"2024-03-23 01:51:00",39.92,30.79,69.94
"2024-03-23 06:51:00",41,37.89,88.75
"2024-03-23 09:41:00",44.96,42.04,89.56
"2024-03-23 13:19:00",48.92,46,89.74
"2024-03-23 15:51:00",46.04,42.94,88.99
"2024-03-23 19:51:00",42.08,35.87,78.73
"2024-03-24 04:51:00",32,15.76,51.08
"2024-03-24 15:51:00",48.02,14.83,26.33
"2024-03-25 02:51:00",37.04,19.72,49.56
"2024-03-25 13:51:00",48.92,19.71,31.42
"2024-03-26 00:51:00",42.08,14.81,33
"2024-03-26 05:36:00",39.02,23.88,54.64
"2024-03-26 14:51:00",53.06,34.9,50.28
"2024-03-26 20:51:00",46.94,36.93,68.28
"2024-03-27 03:51:00",42.08,35.87,78.73
"2024-03-27 11:51:00",48.02,37.81,67.92
"2024-03-27 20:35:00",48.02,44.01,86.08
"2024-03-28 00:51:00",48.92,44.91,86.14
"2024-03-28 03:04:00",48.92,46,89.74
"2024-03-28 06:51:00",48.92,44.91,86.14
"2024-03-28 10:51:00",50,45.99,86.2
"2024-03-28 14:51:00",48.02,42.93,82.6
"2024-03-28 20:51:00",46.04,42.03,85.97
"2024-03-29 06:51:00",42.08,17.71,37.4
"2024-03-29 17:51:00",48.92,21.69,34.18
"2024-03-30 04:51:00",42.08,22.78,46.37
"2024-03-30 15:51:00",60.98,17.82,18.61
"2024-03-31 02:51:00",50,43.99,79.95
"2024-03-31 13:51:00",60.08,30.76,33.05
"2024-03-31 22:51:00",55.04,30.74,39.61
"2024-04-01 09:51:00",50,36.9,60.89
"2024-04-01 20:51:00",53.06,38.89,58.78
"2024-04-02 07:51:00",46.94,42.03,83.1
"2024-04-02 12:58:00",46.04,42.03,85.97
"2024-04-02 16:51:00",46.04,42.03,85.97
"2024-04-02 21:51:00",44.96,40.95,85.9
"2024-04-03 06:02:00",42.98,39.88,88.85
"2024-04-03 09:16:00",42.98,39.88,88.85
"2024-04-03 12:51:00",42.08,37.89,85.13
"2024-04-03 17:31:00",42.08,38.98,88.81
"2024-04-03 21:43:00",42.08,37.89,85.13
"2024-04-04 03:19:00",41,37.89,88.75
"2024-04-04 08:27:00",39.02,33.91,81.94
"2024-04-04 16:51:00",48.02,30.74,51.33
"2024-04-05 02:51:00",39.92,30.79,69.94
